point_id,point_title,fecha,total,prev_total,diff,pulses,prev_pulses,hours_diff,tipo
2,P4,2026-05-15 20:00:00+00:00,0,465997,-465997,0,0,1.00000000000000000000,BAJADA_SIN_EXPLICACION
3,San Vicente de Tagua Tagua,2026-05-18 14:00:00+00:00,1561850,3116140,-1554290,1561850,1561720,1.00000000000000000000,CORRECCION_HOY
4,P1,2026-05-15 20:00:00+00:00,0,817376,-817376,0,0,1.00000000000000000000,BAJADA_SIN_EXPLICACION
5,P2,2026-05-15 20:00:00+00:00,0,107731,-107731,0,0,1.00000000000000000000,BAJADA_SIN_EXPLICACION
6,P3,2026-05-15 20:00:00+00:00,0,1189602,-1189602,0,0,1.00000000000000000000,BAJADA_SIN_EXPLICACION
7,P4,2026-05-15 20:00:00+00:00,0,27341,-27341,0,0,1.00000000000000000000,BAJADA_SIN_EXPLICACION
8,P1,2026-05-15 20:00:00+00:00,2173,4942,-2769,0,0,1.00000000000000000000,BAJADA_SIN_EXPLICACION
8,P1,2026-05-16 04:00:00+00:00,0,2173,-2173,28838,28838,1.00000000000000000000,BAJADA_SIN_EXPLICACION
12,Cerrillos,2026-05-18 14:00:00+00:00,408781,817447,-408666,408781,408781,1.00000000000000000000,CORRECCION_HOY
16,C9,2026-05-18 14:00:00+00:00,104434,313302,-208868,104434,104434,1.00000000000000000000,CORRECCION_HOY
17,S1,2026-05-18 14:00:00+00:00,555748,1106483,-550735,555748,555674,1.00000000000000000000,CORRECCION_HOY
18,S2,2026-05-18 14:00:00+00:00,372650,742515,-369865,372650,372608,1.00000000000000000000,CORRECCION_HOY
20,P1,2026-05-16 04:00:00+00:00,0,2813,-2813,15437,15414,1.00000000000000000000,BAJADA_SIN_EXPLICACION
21,Malla 3(Cancha riego 1),2026-05-18 14:00:00+00:00,142898,285040,-142142,142898,142879,1.00000000000000000000,CORRECCION_HOY
22,Pozo Profundo,2026-05-18 14:00:00+00:00,5,14,-9,46,46,1.00000000000000000000,CORRECCION_HOY
23,Malla 1(SALA BOMBA),2026-05-10 04:00:00+00:00,0,4,-4,0,0,1.00000000000000000000,BAJADA_SIN_EXPLICACION
23,Malla 1(SALA BOMBA),2026-05-18 14:00:00+00:00,4,16,-12,4,4,1.00000000000000000000,CORRECCION_HOY
