point_id,point_title,addition
47,Pichilemu - Dren Nilahue,4709575.000
9,P2,0.000
38,Rancagua Machali - Sondaje 232,0.000
1,PC Descarga,468976.000
8,P1,2173.000
5,P2,109353.530
55,Morza 2,407.000
54,Morza 1,22.000
7,P4,28253.270
53,Tilcoco,91.000
46,Lo Miranda - Sondaje 703,0.000
113,P2,0.000
102,Pozo,0.000
108,P1,0.000
137,Buen Retiro P1.4,0.000
131,Pablo Neruda 1,0.000
133,Pablo Neruda 3,0.000
87,San Fernando,196521.000
112,P1,16874.000
145,Puntera Riego Techo,0.000
117,LDA,0.000
178,Pivote 3,0.000
10,P1,0.000
11,P2,0.000
25,Venecia 1,15560.000
20,P1,1272.000
35,Rancagua Machali - Sondaje 1547,0.000
27,Arauco - Los Cuervos,1447280.000
67,Pozo 1,358084.000
43,Rancagua Machali - Sondaje 1497,302952.000
12,Cerrillos,817447.000
65,P2,243930.000
146,PF Renca,373.000
56,Morza 3,4800.000
4,P1,818968.450
60,P4,16671.171
6,P3,1191669.100
101,Norte,7527.000
100,Sur,182155.000
138,Pesqueras 1,3577310.000
34,Huepil - Sondaje 229,5950.000
28,Tucapel - Sondaje 298,47610.000
41,Codegua La Punta - Sondaje 3452,820622.000
58,P2,606665.000
45,San Fernando - Dren Antivero,75.000
14,P100,1447280.000
24,Venecia 2,3499.400
74,P3,113396.000
15,P200,603888.000
19,S3,1187210.000
3,San Vicente de Tagua Tagua,3116140.000
125,P2,26773.000
73,P09,107340.000
128,P4,3626.000
127,P3,16011.000
66,P1,12905.000
174,Fundo el Rancho,7343.100
48,San Francisco de Mostazal - Sondaje 805,1797940.000
143,Vientos de Renaico,0.000
144,Malla 2 (Sala Bomba),0.000
110,P3,172005.000
104,Polykarpo,6694.000
62,Planta 2 P1,112533.000
61,Planta 1 P1,21903.000
57,P1,163969.000
111,P6,188442.000
130,Las Liras,16732.600
85,S3,44764.000
82,Pozo 4,89117.000
88,Lontue,44413.500
80,Pozo 2,62.000
115,P1,34688.000
116,P2,23078.000
79,Pozo 1,2160869.000
139,Pesqueras 2,280249.500
135,Romeral P6013,1552218.000
136,Buen Retiro P1.1,36816.000
132,Pablo Neruda 2,240733.900
72,P08,148.000
26,Monte Aguila - Sondaje 256,400494.000
23,Malla 1(SALA BOMBA),12.000
16,C9,208868.000
17,S1,1106483.000
18,S2,742515.000
129,P5,56381.000
22,Pozo Profundo,9.200
21,Malla 3(Cancha riego 1),285040.000
30,Quilaco - Sondaje 1017,1522494.000
75,P4,216390.000
109,P5,245194.000
140,Pesqueras 3,214898.900
93,Cisne,463574.000
86,Codegua,78275.200
95,Morza,446548.000
103,Diteco,1971.000
114,Planta Graneros,241198.000
94,Pelarco,319090.000
81,Pozo 3,713580.000
78,P 1,41553.000
141,Pesqueras 4,16162420.000
160,Santa Luisa,35645.000
172,Freire,0.000
158,San Jose 2,0.000
189,Ñiquen,0.000
192,Romana,0.000
188,San Carlos,0.000
187,Coihueco,0.000
59,P3,105610.000
63,Complejo Industrial P1,16158.000
64,Campo Deportivo,10560.400
151,Pozo 1,210822.000
162,Caseta de Riego,480092.000
176,Verquico,1488.000
177,Trilico Corrales,985303.000
166,P2,161.000
173,Coihue,8849.000
167,Pozo 1,60296.000
156,Selva Negra,2704.000
184,Piscina 2,29956.500
159,Santa Adriana,184083.000
163,Pomuyeto,91058.000
183,Agua Potable,2843.400
175,Santa Macarena,170398.000
165,P1,52.000
179,Pivote 4,9557.400
148,P3,3734.000
190,P1,53178.800
191,P2,40904.000
161,Camarico Interior,248822.600
2,P4,468647.000
134,Curico P82,155758.000
152,P2,12375.000
149,P1,61514.000
157,San Jose 1,85359.000
203,Santa Cecilia,9602.000
186,P1,250552.800
209,Pozo 2,37523.000
210,Pozo 3,3473406.000
211,Pozo 4,1928542.000
207,Pozo 1,367.300
182,Piscina 1,18164.000
77,P 2,41228.000
202,Totoral,11361.800
204,Santa Marta,12975.000
205,P2,14370.000
206,Pozo 2,0.200
