id,catchment_point_id,date_time_medition,total,old_diff,new_diff,old_today_diff,new_today_diff,action
2889471,1,2026-05-07 20:10:00,710713,0,4534,0,0,UPDATE_DIFF
2943251,1,2026-05-16 02:33:00,716574,0,5728,0,5728,UPDATE_DIFF
2943252,1,2026-05-16 02:34:00,716575,1,1,0,5729,UPDATE_DIFF
2943254,1,2026-05-16 02:35:00,716575,0,0,0,5729,UPDATE_DIFF
2943259,1,2026-05-16 02:36:00,716576,1,1,0,5730,UPDATE_DIFF
2943260,1,2026-05-16 02:38:00,716576,0,0,0,5730,UPDATE_DIFF
2943261,1,2026-05-16 02:39:00,716576,0,0,0,5730,UPDATE_DIFF
2943264,1,2026-05-16 02:40:00,716576,0,0,0,5730,UPDATE_DIFF
2943271,1,2026-05-16 02:41:00,716576,0,0,0,5730,UPDATE_DIFF
2943272,1,2026-05-16 02:42:00,716576,0,0,0,5730,UPDATE_DIFF
2943273,1,2026-05-16 02:43:00,716576,0,0,0,5730,UPDATE_DIFF
2943274,1,2026-05-16 02:44:00,716579,3,3,0,5733,UPDATE_DIFF
2943275,1,2026-05-16 02:45:00,716580,1,1,0,5734,UPDATE_DIFF
2943281,1,2026-05-16 02:46:00,716580,0,0,0,5734,UPDATE_DIFF
2943282,1,2026-05-16 02:47:00,716580,0,0,0,5734,UPDATE_DIFF
2943283,1,2026-05-16 02:48:00,716581,1,1,0,5735,UPDATE_DIFF
2943284,1,2026-05-16 02:49:00,716581,0,0,0,5735,UPDATE_DIFF
2943289,1,2026-05-16 02:50:00,716581,0,0,0,5735,UPDATE_DIFF
2943294,1,2026-05-16 02:51:00,716582,1,1,0,5736,UPDATE_DIFF
2943295,1,2026-05-16 02:52:00,716582,0,0,0,5736,UPDATE_DIFF
2943296,1,2026-05-16 02:53:00,716583,1,1,0,5737,UPDATE_DIFF
2943297,1,2026-05-16 02:54:00,716583,0,0,0,5737,UPDATE_DIFF
2943299,1,2026-05-16 02:55:00,716584,1,1,0,5738,UPDATE_DIFF
