id,catchment_point_id,date_time_medition,pulses,old_total,new_total,running_pulses,running_total,action
2854677,77,2026-05-01 04:00:00,22614,0,22614,14603.0,14603.0,CORRECT
2854893,77,2026-05-01 05:00:00,22717,0,22717,22614.0,22614.0,CORRECT
2855109,77,2026-05-01 06:00:00,22717,0,22717,22717.0,22717.0,CORRECT
2855325,77,2026-05-01 07:00:00,22838,0,22838,22717.0,22717.0,CORRECT
2855552,77,2026-05-01 08:00:00,22838,0,22838,22838.0,22838.0,CORRECT
2855759,77,2026-05-01 09:00:00,22933,0,22933,22838.0,22838.0,CORRECT
2855977,77,2026-05-01 10:00:00,22933,0,22933,22933.0,22933.0,CORRECT
2856199,77,2026-05-01 11:00:00,23066,0,23066,22933.0,22933.0,CORRECT
2856413,77,2026-05-01 12:00:00,23066,0,23066,23066.0,23066.0,CORRECT
2856636,77,2026-05-01 13:00:00,23136,0,23136,23066.0,23066.0,CORRECT
2856848,77,2026-05-01 14:00:00,23136,0,23136,23136.0,23136.0,CORRECT
2857067,77,2026-05-01 15:00:00,23233,0,23233,23136.0,23136.0,CORRECT
2857281,77,2026-05-01 16:00:00,23233,0,23233,23233.0,23233.0,CORRECT
2857497,77,2026-05-01 17:00:00,23345,0,23345,23233.0,23233.0,CORRECT
2857715,77,2026-05-01 18:00:00,23345,0,23345,23345.0,23345.0,CORRECT
2857930,77,2026-05-01 19:00:00,23464,0,23464,23345.0,23345.0,CORRECT
2858130,77,2026-05-01 20:00:00,23464,0,23464,23464.0,23464.0,CORRECT
2858372,77,2026-05-01 21:00:00,23531,0,23531,23464.0,23464.0,CORRECT
2858566,77,2026-05-01 22:00:00,23531,0,23531,23531.0,23531.0,CORRECT
2858804,77,2026-05-01 23:00:00,23625,0,23625,23531.0,23531.0,CORRECT
2859016,77,2026-05-02 00:00:00,23625,0,23625,23625.0,23625.0,CORRECT
2859232,77,2026-05-02 01:00:00,23740,0,23740,23625.0,23625.0,CORRECT
2859450,77,2026-05-02 02:00:00,23740,0,23740,23740.0,23740.0,CORRECT
2859663,77,2026-05-02 03:00:00,23845,0,23845,23740.0,23740.0,CORRECT
2859885,77,2026-05-02 04:00:00,23845,0,23845,23845.0,23845.0,CORRECT
2860095,77,2026-05-02 05:00:00,23962,0,23962,23845.0,23845.0,CORRECT
2860315,77,2026-05-02 06:00:00,23962,0,23962,23962.0,23962.0,CORRECT
2860541,77,2026-05-02 07:00:00,24081,0,24081,23962.0,23962.0,CORRECT
2860755,77,2026-05-02 08:00:00,24081,0,24081,24081.0,24081.0,CORRECT
2860967,77,2026-05-02 09:00:00,24170,0,24170,24081.0,24081.0,CORRECT
2861189,77,2026-05-02 10:00:00,24170,0,24170,24170.0,24170.0,CORRECT
2861409,77,2026-05-02 11:00:00,24259,0,24259,24170.0,24170.0,CORRECT
2861622,77,2026-05-02 12:00:00,24259,0,24259,24259.0,24259.0,CORRECT
2861839,77,2026-05-02 13:00:00,24356,0,24356,24259.0,24259.0,CORRECT
2862059,77,2026-05-02 14:00:00,24356,0,24356,24356.0,24356.0,CORRECT
2862280,77,2026-05-02 15:00:00,24438,0,24438,24356.0,24356.0,CORRECT
