point_id,point_title,addition_actual,total_inflado,num_resets,factor_usado,addition_corregido,accion
2,P4,468647.0,468647.0,1,1000,0.0,PONER_EN_CERO
3,San Vicente de Tagua Tagua,3116140.0,1558360.0,1,1000,1557780.0,RESTAR_INFLADO
4,P1,818968.45,818968.45,1,10,0.0,PONER_EN_CERO
5,P2,109353.53,109353.53,1,10,0.0,PONER_EN_CERO
6,P3,1191669.1,1191669.1,1,10,0.0,PONER_EN_CERO
7,P4,28253.27,28253.27,1,10,0.0,PONER_EN_CERO
12,Cerrillos,817447.0,408733.0,1,1000,408714.0,RESTAR_INFLADO
14,P100,1447280.0,1447280.0,1,1000,0.0,PONER_EN_CERO
15,P200,603888.0,603888.0,1,1000,0.0,PONER_EN_CERO
16,C9,208868.0,208868.0,2,1000,0.0,PONER_EN_CERO
17,S1,1106483.0,1106483.0,2,1000,0.0,PONER_EN_CERO
18,S2,742515.0,742515.0,2,1000,0.0,PONER_EN_CERO
19,S3,1187210.0,1187210.0,1,1000,0.0,PONER_EN_CERO
21,Malla 3(Cancha riego 1),285040.0,285040.0,2,1000,0.0,PONER_EN_CERO
22,Pozo Profundo,9.2,9.2,2,100,0.0,PONER_EN_CERO
23,Malla 1(SALA BOMBA),12.0,12.0,3,1000,0.0,PONER_EN_CERO
24,Venecia 2,3499.4,1081.4,1,100,2418.0,RESTAR_INFLADO
26,Monte Aguila - Sondaje 256,400494.0,400494.0,2,1000,0.0,PONER_EN_CERO
27,Arauco - Los Cuervos,1447280.0,1447280.0,1,1000,0.0,PONER_EN_CERO
28,Tucapel - Sondaje 298,47610.0,47610.0,1,1000,0.0,PONER_EN_CERO
30,Quilaco - Sondaje 1017,1522494.0,1522494.0,2,1000,0.0,PONER_EN_CERO
34,Huepil - Sondaje 229,5950.0,5950.0,2,1000,0.0,PONER_EN_CERO
41,Codegua La Punta - Sondaje 3452,820622.0,820622.0,1,1000,0.0,PONER_EN_CERO
43,Rancagua Machali - Sondaje 1497,302952.0,151476.0,1,1000,151476.0,RESTAR_INFLADO
45,San Fernando - Dren Antivero,75.0,75.0,1,1000,0.0,PONER_EN_CERO
47,Pichilemu - Dren Nilahue,4709575.0,417195.0,3,1000,4292380.0,RESTAR_INFLADO
48,San Francisco de Mostazal - Sondaje 805,1797940.0,1797940.0,1,1000,0.0,PONER_EN_CERO
53,Tilcoco,91.0,91.0,1,1000,0.0,PONER_EN_CERO
54,Morza 1,22.0,22.0,1,1000,0.0,PONER_EN_CERO
55,Morza 2,407.0,407.0,1,1000,0.0,PONER_EN_CERO
56,Morza 3,4800.0,4800.0,1,1000,0.0,PONER_EN_CERO
57,P1,163969.0,163969.0,1,1000,0.0,PONER_EN_CERO
58,P2,606665.0,606665.0,1,1000,0.0,PONER_EN_CERO
60,P4,16671.171,16671.171,1,33,0.0,PONER_EN_CERO
61,Planta 1 P1,21903.0,21903.0,1,1000,0.0,PONER_EN_CERO
62,Planta 2 P1,112533.0,112533.0,1,1000,0.0,PONER_EN_CERO
63,Complejo Industrial P1,16158.0,16158.0,1,1000,0.0,PONER_EN_CERO
64,Campo Deportivo,10560.4,10560.4,1,100,0.0,PONER_EN_CERO
65,P2,243930.0,121995.0,1,1000,121935.0,RESTAR_INFLADO
66,P1,12905.0,12905.0,1,1000,0.0,PONER_EN_CERO
67,Pozo 1,358084.0,358084.0,2,1000,0.0,PONER_EN_CERO
72,P08,148.0,148.0,2,1000,0.0,PONER_EN_CERO
73,P09,107340.0,107340.0,1,1000,0.0,PONER_EN_CERO
74,P3,113396.0,113396.0,1,1000,0.0,PONER_EN_CERO
75,P4,216390.0,144260.0,2,1000,72130.0,RESTAR_INFLADO
77,P 2,41228.0,41228.0,1,1000,0.0,PONER_EN_CERO
78,P 1,41553.0,41553.0,1,1000,0.0,PONER_EN_CERO
79,Pozo 1,2160869.0,2160869.0,1,1000,0.0,PONER_EN_CERO
80,Pozo 2,62.0,62.0,1,1000,0.0,PONER_EN_CERO
81,Pozo 3,713580.0,713580.0,1,1000,0.0,PONER_EN_CERO
82,Pozo 4,89117.0,89117.0,1,1000,0.0,PONER_EN_CERO
85,S3,44764.0,44764.0,1,1000,0.0,PONER_EN_CERO
86,Codegua,78275.2,78275.2,1,100,0.0,PONER_EN_CERO
88,Lontue,44413.5,44413.5,1,100,0.0,PONER_EN_CERO
93,Cisne,463574.0,463574.0,1,1000,0.0,PONER_EN_CERO
94,Pelarco,319090.0,319090.0,1,1000,0.0,PONER_EN_CERO
95,Morza,446548.0,446548.0,1,1000,0.0,PONER_EN_CERO
100,Sur,182155.0,182155.0,1,1000,0.0,PONER_EN_CERO
101,Norte,7527.0,7527.0,1,1000,0.0,PONER_EN_CERO
103,Diteco,1971.0,1971.0,1,1000,0.0,PONER_EN_CERO
104,Polykarpo,6694.0,6694.0,1,1000,0.0,PONER_EN_CERO
